symbol,population,level,finite_count,invalid_count,pip_fallback_count,signed_p01,signed_p05,signed_p50,signed_p95,signed_p99,absolute_p50,absolute_p90,absolute_p95,absolute_p99,absolute_max,approximation
audcadrmp,geometric,1.272,198589654,0,0,-42.8249874887,-27.476843741,1.92066929704,31.7937793524,47.5161563409,10.5257357742,29.8236776932,36.7889563677,51.6777754929,171.473410605,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,geometric,1.618,198589654,0,0,-41.8935863469,-26.6119295218,2.80242424229,32.8271088531,48.7671434121,10.6740577589,30.0631038499,37.0843001722,52.0926475722,199.208748895,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,geometric,0.382,198589654,0,0,-44.7503724108,-29.2919175223,0.245049029354,29.9431514654,45.471773556,10.4210550238,29.586158355,36.568993142,51.2662075046,132.232022766,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,geometric,0.5,198589654,0,0,-45.1096309097,-29.586158355,-0.0550479604099,29.586158355,45.1096309097,10.4210550238,29.586158355,36.568993142,51.2662075046,131.178911112,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,geometric,0.618,198589654,0,0,-45.471773556,-29.9431514654,-0.354700380166,29.2919175223,44.7503724108,10.4210550238,29.6453602579,36.568993142,51.3687911858,131.967954888,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,event_relevant_20,1.272,3029678,0,0,-5.49670085606,-3.45002305176,0.186344147424,3.70004853084,5.73235867353,1.25971383104,3.58357865473,4.47385744374,6.4499225385,14.580140937,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,event_relevant_20,1.618,3029678,0,0,-4.86569239536,-2.7469599755,1.01105516533,4.66566331211,6.68622963591,1.55702764432,4.02411078702,4.9342566429,6.9173527407,17.280443864,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,event_relevant_20,0.382,3029678,0,0,-7.56844911922,-5.35569809838,-1.35641827127,2.39303824489,4.55507504231,1.75895113994,4.49177973456,5.50769975447,7.69045677116,18.385172002,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,event_relevant_20,0.5,3029678,0,0,-8.14945618404,-5.78994090549,-1.61730253604,2.19593244876,4.37655546712,1.93608853785,4.82694143884,5.88327800582,8.21488047523,21.3162676269,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
audcadrmp,event_relevant_20,0.618,3029678,0,0,-8.79262431883,-6.23441724642,-1.87514447448,2.00301336969,4.20503231646,2.12680903643,5.17675311477,6.2970427171,8.82784760703,24.4688667735,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
