agency	event_family	source_event_id	event_timestamp_unix_micros	timestamp_confidence	source_release_date	source_release_time	source_timezone	reference_period	source_url	artifact_path	artifact_sha256
bea	GDP_ADVANCE	bea:10-16	1272630600000000	exact	2010-04-30	08:30:00	America/New_York	Q1 2010	https://www.bea.gov/news/2010/gross-domestic-product-1st-quarter-2010-advance-estimate	2010/gross-domestic-product-1st-quarter-2010-advance-estimate.html	e53ba2768a7e0932d6bdb8372c2d8b3e4b3c9f1276dc3d9af1a50e60489b48c8
bea	GDP_SECOND	bea:10-22	1274963400000000	exact	2010-05-27	08:30:00	America/New_York	Q1 2010	https://www.bea.gov/news/2010/gross-domestic-product-1st-quarter-2010-second-estimate-corporate-profits-1st-quarter	2010/gross-domestic-product-1st-quarter-2010-second-estimate-corporate-profits-1st-quarter.html	60e6e3fcf52f37a92b7c71b03f0af8ef492b0023eda2fd6a790c124f865765a0
bea	GDP_THIRD	bea:10-31	1277469000000000	exact	2010-06-25	08:30:00	America/New_York	Q1 2010	https://www.bea.gov/news/2010/gross-domestic-product-1st-quarter-2010-third-estimate-corporate-profits-1st-quarter-2010	2010/gross-domestic-product-1st-quarter-2010-third-estimate-corporate-profits-1st-quarter-2010.html	e3a3286dbbc89fd24e493dbd19d2baa11775c04464fad83f450c49c1ce5a3062
bea	GDP_ADVANCE	bea:10-37	1280493000000000	exact	2010-07-30	08:30:00	America/New_York	Q2 2010	https://www.bea.gov/news/2010/gross-domestic-product-2nd-quarter-2010-advance-estimate	2010/gross-domestic-product-2nd-quarter-2010-advance-estimate.html	dcc368a02fe1d81cfc607b0708f0ac2cb3aa2f8fba1a486303196d262f1c2ad3
bea	GDP_SECOND	bea:10-41	1282912200000000	exact	2010-08-27	08:30:00	America/New_York	Q2 2010	https://www.bea.gov/news/2010/gross-domestic-product-2nd-quarter-2010-second-estimate-corporate-profits-2nd-quarter	2010/gross-domestic-product-2nd-quarter-2010-second-estimate-corporate-profits-2nd-quarter.html	925e006ee8572c73aee02cd870fe66e75500e507b89f0102be1d6b08e0f79579
bea	GDP_THIRD	bea:10-47	1285849800000000	exact	2010-09-30	08:30:00	America/New_York	Q2 2010	https://www.bea.gov/news/2010/gross-domestic-product-2nd-quarter-2010-third-estimate-corporate-profits-2nd-quarter-2010	2010/gross-domestic-product-2nd-quarter-2010-third-estimate-corporate-profits-2nd-quarter-2010.html	93c8aeccc018ee7d9a7715d000d37da1aa8d4e8f2d63b89540dc455bc6de2ce6
bea	GDP_ADVANCE	bea:10-50	1288355400000000	exact	2010-10-29	08:30:00	America/New_York	Q3 2010	https://www.bea.gov/news/2010/gross-domestic-product-3rd-quarter-2010-advance-estimate	2010/gross-domestic-product-3rd-quarter-2010-advance-estimate.html	200c86f9cfb10fec57c73ae6498982adf8ad224c13d2c8f5799d8b6f79d9270f
bea	GDP_SECOND	bea:10-54	1290519000000000	exact	2010-11-23	08:30:00	America/New_York	Q3 2010	https://www.bea.gov/news/2010/gross-domestic-product-3rd-quarter-2010-second-estimate-corporate-profits-3rd-quarter	2010/gross-domestic-product-3rd-quarter-2010-second-estimate-corporate-profits-3rd-quarter.html	f36bb42dd3ceacc09edaca059069eb5f3926abc5f15c6f615d04b8db8e2118b1
bea	GDP_THIRD	bea:10-62	1293024600000000	exact	2010-12-22	08:30:00	America/New_York	Q3 2010	https://www.bea.gov/news/2010/gross-domestic-product-3rd-quarter-2010-third-estimate-corporate-profits-3rd-quarter-2010	2010/gross-domestic-product-3rd-quarter-2010-third-estimate-corporate-profits-3rd-quarter-2010.html	f39337fa94d79084b55c2366d99a967d272b867906b4cad737c33e66fd514f52
bea	GDP_ADVANCE	bea:10-2	1264771800000000	exact	2010-01-29	08:30:00	America/New_York	Q4 2009	https://www.bea.gov/news/2010/gross-domestic-product-4th-quarter-2009-advance-estimate	2010/gross-domestic-product-4th-quarter-2009-advance-estimate.html	c45b1035c275b727d3878849d8e74750247a058784a365ec7d68a779b7802505
