agency	artifact_path	artifact_sha256	source_url	acquisition_status	parse_status	validation_status	collision_status	diagnostic
bea	2019/personal-income-and-outlays-september-2019.html	c5ed57c8201bd61cf63b83fb5ab9e1d8f74c0e0c5eb18938ec15885f29c68ed4	https://www.bea.gov/news/2019/personal-income-and-outlays-september-2019	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=bea,error=bea_release_timezone_contradiction
bea	2025/personal-income-and-outlays-data-update-september-2025.html	f8964a4d16c112c7ea4562cf3ab2a93a4fc464d29dd13ecf3b3f24ea8d9a127e	https://www.bea.gov/news/2025/personal-income-and-outlays-data-update-september-2025	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=bea,error=bea_authoritative_release_time_missing
census	new-residential-construction/2013/newresconst_201309.txt	f7327e5bf5b091c7986adce5646a66e780c35f517621f171f1605a9109d39884	https://www.census.gov/construction/nrc/pdf/newresconst_201309.pdf	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
census	new-residential-construction/2015/newresconst_201504.txt	8fec4fbe2230f3ff090c840535e1fd4cdb629f187d18c821c6e1e40068e7e290	https://www.census.gov/construction/nrc/pdf/newresconst_201504.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_release_id_year_mismatch
census	new-residential-sales/2013/newressales_201309.txt	76a1ae64eb7d4d804b09c0936e33aeac201dac166b6dc1673e8d4de898a49be6	https://www.census.gov/construction/nrs/pdf/newressales_201309.pdf	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
census	new-residential-sales/2019/newressales_201901.txt	46e5c91f1dac3f56a2ccb93b99c57025b2829f92c8d12102ec12af62a8504a06	https://www.census.gov/construction/nrs/pdf/newressales_201901.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_release_timezone_contradiction
census	manufacturers-orders/2013/aug13prel.txt	3680a0dfd9f0fb50e4761968ad16e98cd7aa059a260383a4704a598497d5dc0b	https://www.census.gov/manufacturing/m3/historical_data/pressreleases/prel/2013/aug13prel.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_authoritative_release_time_missing
dol-eta	2011/111011.asp	f63589b81fd8ea467051c94b02b9612eda7bc3e8fdb8ed48140eba3f7b9315ef	https://oui.doleta.gov/press/2011/111011.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/111711.asp	3b36662119a32f94d92059bfb1177896d8162a98f4ed3ee40b7c1f0e2627d067	https://oui.doleta.gov/press/2011/111711.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/112311.asp	e841ca233fa4772c78153436f92a7f21e5b765aecc1b01d41bf57374362ebdd6	https://oui.doleta.gov/press/2011/112311.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/120111.asp	0eed49bfcacacf55aa1c0579ad15e5b05b1d72403eb7c1132b941b2e3732ce93	https://oui.doleta.gov/press/2011/120111.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
