lTid,cDealable,CurrencyPair,RateDateTime,RateBid,RateAsk
6345119492,D,COR/USD,2018-01-15 20:00:01.047000000,3.470000,3.472500
6345119520,D,COR/USD,2018-01-15 20:00:01.297000000,3.471300,3.473800
6345119551,D,COR/USD,2018-01-15 20:00:01.547000000,3.472500,3.475000
6345119947,D,COR/USD,2018-01-15 20:00:11.297000000,3.473800,3.476300
6345119952,D,COR/USD,2018-01-15 20:00:11.547000000,3.475000,3.477500
6345121060,D,COR/USD,2018-01-15 20:00:30.547000000,3.477500,3.480000
6345121501,D,COR/USD,2018-01-15 20:00:44.047000000,3.478800,3.481300
6345121509,D,COR/USD,2018-01-15 20:00:44.310000000,3.480000,3.482500
6345122291,D,COR/USD,2018-01-15 20:01:19.797000000,3.481300,3.483800
6345122296,D,COR/USD,2018-01-15 20:01:20.047000000,3.482500,3.485000
6345122432,D,COR/USD,2018-01-15 20:01:33.297000000,3.483800,3.486300
6345122438,D,COR/USD,2018-01-15 20:01:33.547000000,3.485000,3.487500
6345123183,D,COR/USD,2018-01-15 20:02:09.297000000,3.486300,3.488800
6345123185,D,COR/USD,2018-01-15 20:02:09.547000000,3.487500,3.490000
6345123213,D,COR/USD,2018-01-15 20:02:11.047000000,3.488800,3.491300
6345123240,D,COR/USD,2018-01-15 20:02:11.297000000,3.490000,3.492500
6345123268,D,COR/USD,2018-01-15 20:02:11.797000000,3.487500,3.490000
6345123276,D,COR/USD,2018-01-15 20:02:12.297000000,3.490000,3.492500
6345123298,D,COR/USD,2018-01-15 20:02:14.047000000,3.487500,3.490000
6345126082,D,COR/USD,2018-01-15 20:04:07.547000000,3.490000,3.492500
6345128205,D,COR/USD,2018-01-15 20:05:54.297000000,3.487500,3.490000
6345128468,D,COR/USD,2018-01-15 20:06:02.810000000,3.485000,3.487500
6345128640,D,COR/USD,2018-01-15 20:06:06.297000000,3.487500,3.490000
6345128741,D,COR/USD,2018-01-15 20:06:08.547000000,3.485000,3.487500
6345130604,D,COR/USD,2018-01-15 20:07:01.297000000,3.487500,3.490000
6345133608,D,COR/USD,2018-01-15 20:08:08.047000000,3.486300,3.488800
6345133618,D,COR/USD,2018-01-15 20:08:08.297000000,3.485000,3.487500
6345141853,D,COR/USD,2018-01-15 20:13:03.543000000,3.482500,3.485000
6345151837,D,COR/USD,2018-01-15 20:16:51.543000000,3.480000,3.482500
6345160201,D,COR/USD,2018-01-15 20:20:43.043000000,3.481300,3.483800
6345160231,D,COR/USD,2018-01-15 20:20:43.293000000,3.482500,3.485000
6345161939,D,COR/USD,2018-01-15 20:21:30.543000000,3.480000,3.482500
6345162100,D,COR/USD,2018-01-15 20:21:34.043000000,3.481300,3.483800
6345162103,D,COR/USD,2018-01-15 20:21:34.293000000,3.482500,3.485000
6345172823,D,COR/USD,2018-01-15 20:29:27.790000000,3.480000,3.482500
6345173636,D,COR/USD,2018-01-15 20:29:56.040000000,3.482500,3.485000
6345225898,D,COR/USD,2018-01-15 21:04:20.787000000,3.485000,3.487500
6345227737,D,COR/USD,2018-01-15 21:05:49.037000000,3.487500,3.490000
6345228345,D,COR/USD,2018-01-15 21:06:28.033000000,3.486300,3.488800
6345228371,D,COR/USD,2018-01-15 21:06:28.283000000,3.485000,3.487500
6345242231,D,COR/USD,2018-01-15 21:13:29.783000000,3.483800,3.486300
6345242235,D,COR/USD,2018-01-15 21:13:30.033000000,3.482500,3.485000
6345275829,D,COR/USD,2018-01-15 21:34:29.280000000,3.480000,3.482500
6345320603,D,COR/USD,2018-01-15 22:05:16.273000000,3.477500,3.480000
6345387948,D,COR/USD,2018-01-15 23:01:04.263000000,3.475000,3.477500
6345391292,D,COR/USD,2018-01-15 23:04:36.013000000,3.477500,3.480000
6345423972,D,COR/USD,2018-01-15 23:41:32.757000000,3.476300,3.478800
6345423974,D,COR/USD,2018-01-15 23:41:33.007000000,3.475000,3.477500
6345506445,D,COR/USD,2018-01-16 00:57:47.993000000,3.476300,3.478800
6345506448,D,COR/USD,2018-01-16 00:57:48.243000000,3.477500,3.480000
6345779861,D,COR/USD,2018-01-16 02:41:07.477000000,3.478800,3.481300
6345779869,D,COR/USD,2018-01-16 02:41:07.727000000,3.477500,3.480000
6345908620,D,COR/USD,2018-01-16 03:19:06.220000000,3.475000,3.477500
6346093085,D,COR/USD,2018-01-16 04:17:14.710000000,3.472500,3.475000
6346206769,D,COR/USD,2018-01-16 04:56:07.453000000,3.473800,3.476300
6346206777,D,COR/USD,2018-01-16 04:56:07.703000000,3.472500,3.475000
6346206791,D,COR/USD,2018-01-16 04:56:07.953000000,3.473800,3.476300
6346206802,D,COR/USD,2018-01-16 04:56:08.203000000,3.475000,3.477500
6346605820,D,COR/USD,2018-01-16 07:32:34.173000000,3.476300,3.478800
6346605827,D,COR/USD,2018-01-16 07:32:34.423000000,3.477500,3.480000
6346640826,D,COR/USD,2018-01-16 07:48:20.670000000,3.480000,3.482500
6346648171,D,COR/USD,2018-01-16 07:52:00.920000000,3.482500,3.485000
6346660978,D,COR/USD,2018-01-16 07:56:52.170000000,3.480000,3.482500
6346663492,D,COR/USD,2018-01-16 07:57:49.920000000,3.481300,3.483800
