version	acl_tuple_key	object_class	object_identity	grantee	privilege	grant_option	requirement_id
h1-explicit-acl-v1	schema:public:PUBLIC:USAGE:false	schema	public	PUBLIC	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_auditor:USAGE:false	schema	public	campaign_operations_auditor	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_cancellation_coordinator:USAGE:false	schema	public	campaign_operations_cancellation_coordinator	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_completion_writer:USAGE:false	schema	public	campaign_operations_completion_writer	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_controller:USAGE:false	schema	public	campaign_operations_controller	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_production_reader:USAGE:false	schema	public	campaign_operations_production_reader	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_reader:USAGE:false	schema	public	campaign_operations_reader	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_reconciler:USAGE:false	schema	public	campaign_operations_reconciler	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_recovery:USAGE:false	schema	public	campaign_operations_recovery	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:campaign_operations_scheduler_protocol_evidence_reader:USAGE:false	schema	public	campaign_operations_scheduler_protocol_evidence_reader	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:experiment_lifecycle_cancellation:USAGE:false	schema	public	experiment_lifecycle_cancellation	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	schema:public:experiment_lifecycle_cancellation_owner:USAGE:false	schema	public	experiment_lifecycle_cancellation_owner	USAGE	false	H1-ACL-SCHEMA-PUBLIC
h1-explicit-acl-v1	table:public.schema_migrations:campaign_operations_owner:SELECT:false	table	public.schema_migrations	campaign_operations_owner	SELECT	false	H1-ACL-LEDGER
h1-explicit-acl-v1	table:public.experiment_scheduler_protocol:pqxx:SELECT:false	table	public.experiment_scheduler_protocol	pqxx	SELECT	false	H1-ACL-SCHEDULER-EVIDENCE
h1-explicit-acl-v1	table:public.campaign_operations_production_enablement_event:campaign_operations_owner:SELECT:false	table	public.campaign_operations_production_enablement_event	campaign_operations_owner	SELECT	false	H1-ACL-ENABLEMENT
h1-explicit-acl-v1	table:public.campaign_operations_production_enablement_event:campaign_operations_production_reader:SELECT:false	table	public.campaign_operations_production_enablement_event	campaign_operations_production_reader	SELECT	false	H1-ACL-ENABLEMENT
h1-explicit-acl-v1	table:public.campaign_operations_production_enablement_audit_reference_event:campaign_operations_owner:SELECT:false	table	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_owner	SELECT	false	H1-ACL-ENABLEMENT-AUDIT
h1-explicit-acl-v1	table:public.campaign_operations_production_enablement_audit_reference_event:campaign_operations_production_reader:SELECT:false	table	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_production_reader	SELECT	false	H1-ACL-ENABLEMENT-AUDIT
h1-explicit-acl-v1	table:public.campaign_operations_request_production_admission:campaign_operations_owner:SELECT:false	table	public.campaign_operations_request_production_admission	campaign_operations_owner	SELECT	false	H1-ACL-ADMISSION
h1-explicit-acl-v1	table:public.campaign_operations_request_production_admission:campaign_operations_production_reader:SELECT:false	table	public.campaign_operations_request_production_admission	campaign_operations_production_reader	SELECT	false	H1-ACL-ADMISSION
h1-explicit-acl-v1	view:public.campaign_operations_production_readiness_v1:campaign_operations_production_reader:SELECT:false	view	public.campaign_operations_production_readiness_v1	campaign_operations_production_reader	SELECT	false	H1-ACL-READINESS
h1-explicit-acl-v1	view:public.campaign_operations_production_status_v1:campaign_operations_production_reader:SELECT:false	view	public.campaign_operations_production_status_v1	campaign_operations_production_reader	SELECT	false	H1-ACL-STATUS
h1-explicit-acl-v1	table:public.campaign_operations_operational_request:campaign_operations_owner:SELECT:false	table	public.campaign_operations_operational_request	campaign_operations_owner	SELECT	false	H1-ACL-REQUEST
