version	object_key	object_class	schema_name	object_identity	owner	acl_catalog_column	expected_acl_origin	requirement_id
h1-object-inventory-v1	schema:public	schema	public	public	pg_database_owner	nspacl	explicit	H1-ACL-SCHEMA-PUBLIC
h1-object-inventory-v1	table:public.schema_migrations	table	public	public.schema_migrations	vjp	relacl	explicit	H1-ACL-LEDGER
h1-object-inventory-v1	table:public.experiment_scheduler_protocol	table	public	public.experiment_scheduler_protocol	campaign_manager_login	relacl	explicit	H1-ACL-SCHEDULER-EVIDENCE
h1-object-inventory-v1	table:public.campaign_operations_production_transition_context	table	public	public.campaign_operations_production_transition_context	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-CONTEXT
h1-object-inventory-v1	table:public.campaign_operations_production_enablement_event	table	public	public.campaign_operations_production_enablement_event	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-ENABLEMENT
h1-object-inventory-v1	table:public.campaign_operations_production_enablement_audit_reference_event	table	public	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-ENABLEMENT-AUDIT
h1-object-inventory-v1	table:public.campaign_operations_request_production_admission	table	public	public.campaign_operations_request_production_admission	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-ADMISSION
h1-object-inventory-v1	table:public.campaign_operations_operational_request	table	public	public.campaign_operations_operational_request	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-REQUEST
h1-object-inventory-v1	table:public.campaign_operations_dispatch_attempt	table	public	public.campaign_operations_dispatch_attempt	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-ATTEMPT
h1-object-inventory-v1	table:public.campaign_operations_dispatch_audit_reference_event	table	public	public.campaign_operations_dispatch_audit_reference_event	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-DISPATCH-AUDIT
h1-object-inventory-v1	table:public.campaign_operations_completion_event	table	public	public.campaign_operations_completion_event	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-COMPLETION
h1-object-inventory-v1	table:public.campaign_operations_completion_audit_reference_event	table	public	public.campaign_operations_completion_audit_reference_event	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-COMPLETION-AUDIT
h1-object-inventory-v1	view:public.campaign_operations_production_readiness_v1	view	public	public.campaign_operations_production_readiness_v1	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-READINESS
h1-object-inventory-v1	view:public.campaign_operations_production_status_v1	view	public	public.campaign_operations_production_status_v1	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-STATUS
h1-object-inventory-v1	sequence:public.campaign_operations_completio_completion_audit_reference_ev_seq	sequence	public	public.campaign_operations_completio_completion_audit_reference_ev_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_completion_event_completion_event_id_seq	sequence	public	public.campaign_operations_completion_event_completion_event_id_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	sequence	public	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_dispatch_attempt_dispatch_attempt_id_seq	sequence	public	public.campaign_operations_dispatch_attempt_dispatch_attempt_id_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_operational_requ_operational_request_id_seq	sequence	public	public.campaign_operations_operational_requ_operational_request_id_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_productio_production_enablement_audit_r_seq	sequence	public	public.campaign_operations_productio_production_enablement_audit_r_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_productio_production_enablement_event_i_seq	sequence	public	public.campaign_operations_productio_production_enablement_event_i_seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	sequence:public.campaign_operations_request_p_request_production_admission__seq	sequence	public	public.campaign_operations_request_p_request_production_admission__seq	campaign_operations_h1_boundary_authority	relacl	explicit	H1-ACL-SEQUENCES
h1-object-inventory-v1	function:public.campaign_operations_dispatch_attempt_v2_canonical(campaign_operations_dispatch_attempt)	function	public	public.campaign_operations_dispatch_attempt_v2_canonical(campaign_operations_dispatch_attempt)	campaign_operations_h1_boundary_authority	proacl	explicit	H1-ACL-SUPPORTING-DEFINERS
h1-object-inventory-v1	function:public.campaign_operations_h1_deployment_audit_v1(text,boolean,boolean)	function	public	public.campaign_operations_h1_deployment_audit_v1(text,boolean,boolean)	campaign_operations_h1_boundary_authority	proacl	explicit	H1-ACL-DEPLOYMENT-AUDIT
h1-object-inventory-v1	function:public.campaign_operations_has_explicit_role_v1(name,name)	function	public	public.campaign_operations_has_explicit_role_v1(name,name)	campaign_operations_h1_boundary_authority	proacl	explicit	H1-ACL-SUPPORTING-DEFINERS
