event_family,myfxbook_source_family,myfxbook_event_id,release_date,myfxbook_actual,myfxbook_consensus,consensus_present,family_date_observation_count,classification,automatic_candidate_eligible,automatic_exclusion_reason,source,source_endpoint,source_years_back,source_capture_extracted_at,source_capture_filename,source_capture_sha256,source_series_ordinal,source_observation_ordinal,anomaly_type,anomaly_detail
CPI,CPI_MOM,-265326876,2024-02-09,0.2,,0,1,manual_review,0,known_cpi_2024_02_09_anomaly,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,132,manual_review,known CPI date anomaly retained as evidence and excluded from automatic candidates
EMPLOYMENT,EMPLOYMENT_NFP,1201719106,2025-12-16,-105000,55000,1,2,ambiguous_duplicate,0,duplicate_family_date,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,6,153,duplicate_family_date,2 raw observations share this family/date key; no row is selected
EMPLOYMENT,EMPLOYMENT_NFP,1201719106,2025-12-16,64000,50000,1,2,ambiguous_duplicate,0,duplicate_family_date,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,6,154,duplicate_family_date,2 raw observations share this family/date key; no row is selected
FOMC,FOMC_RATE,-1731853807,2020-03-03,1.25,,0,1,unique_null,0,consensus_missing,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,7,57,emergency_fomc_null_consensus,emergency FOMC event has no source consensus; no forecast is inferred
FOMC,FOMC_RATE,-1731853807,2020-03-15,0.25,,0,1,unique_null,0,consensus_missing,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,7,58,emergency_fomc_null_consensus,emergency FOMC event has no source consensus; no forecast is inferred
GDP,GDP,-2050894417,2013-03-28,0.4,,0,1,unique_null,0,consensus_missing,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,4,1,gdp_null_consensus,known GDP null consensus retained and excluded from automatic candidates
JOLTS,JOLTS,906938645,2025-12-09,7658000,7200000,1,2,ambiguous_duplicate,0,duplicate_family_date,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,137,duplicate_family_date,2 raw observations share this family/date key; no row is selected
JOLTS,JOLTS,906938645,2025-12-09,7670000,7000000,1,2,ambiguous_duplicate,0,duplicate_family_date,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,138,duplicate_family_date,2 raw observations share this family/date key; no row is selected
PCE,PCE,486275182,2013-09-27,0.1,,0,1,unique_null,0,consensus_missing,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,5,1,pce_null_consensus,"row-level PCE null retained; no prefix assumption, interpolation, or adjacent-release fill"
PCE,PCE,486275182,2013-12-23,0.0,,0,1,unique_null,0,consensus_missing,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,5,4,pce_null_consensus,"row-level PCE null retained; no prefix assumption, interpolation, or adjacent-release fill"
