event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,target_match_source,oanda_date,oanda_event,oanda_report_id,oanda_event_id,oanda_period,oanda_priority,oanda_actual,original_oanda_forecast,original_oanda_forecast_present,oanda_previous,oanda_timestamp,oanda_previous_present,oanda_actual_present,oanda_match_rule,oanda_source_file,oanda_matches_filename,oanda_matches_sha256,myfxbook_match_count,myfxbook_source_families,myfxbook_event_ids,myfxbook_actual_values,myfxbook_consensus_values,myfxbook_row_classifications,myfxbook_capture_source,myfxbook_capture_endpoint,myfxbook_capture_years_back,myfxbook_capture_filename,myfxbook_capture_sha256,candidate_myfxbook_event_id,candidate_myfxbook_actual,candidate_myfxbook_consensus,candidate_consensus_source,merge_classification,merge_exclusion_reason,oanda_match_row_number
RETAIL_SALES,2011-07-14T07:30:00-05:00,2011-07-14,CENSUS,June 2011,oanda,2011-07-14 14:30,Retail Sales,696,24144,June,3,0.1% m/m,,0,-0.2% m/m,1310646600,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-14.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,3
PPI,2011-08-17T07:30:00-05:00,2011-08-17,BLS,July 2011,oanda,2011-08-17 14:30,Producer Price Index,703,24466,July,2,0.2% m/m,,0,-0.4% m/m,1313584200,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-17.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,11
CPI,2011-11-16T07:30:00-06:00,2011-11-16,BLS,October 2011,oanda,2011-11-16 14:30,Consumer Price Index,699,24306,October,3,-0.1% m/m,,0,0.3% m/m,1321450200,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-16.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,35
PPI,2012-05-11T07:30:00-05:00,2012-05-11,BLS,April 2012,oanda,2012-05-11 14:30,Producer Price Index,703,24455,April,2,-0.2% m/m,,0,,1336739400,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-05-11.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,79
PCE,2012-06-29T07:30:00-05:00,2012-06-29,BEA,May 2012,oanda,2012-06-29 14:30,Personal Consumption Expenditures,694,24031,May,2,,,0,0.3% m/m,1340973000,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-06-29.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,92
CPI,2012-07-17T07:30:00-05:00,2012-07-17,BLS,June 2012,oanda,2012-07-17 14:30,Consumer Price Index,699,24291,June,3,,,0,-0.3% m/m,1342528200,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-07-17.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,0,,,,,,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_no_match,no_myfxbook_family_date_match,96
PPI,2013-12-13T07:30:00-06:00,2013-12-13,BLS,November 2013,oanda,2013-12-13 14:30,Producer Price Index,703,38983,November,2,"-0,1% m/m",,0,"-0,2% m/m",1386941400,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2013-12-13.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,1,PPI_MOM,1438001284,-0.1,-0.1,unique_populated,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1438001284,-0.1,-0.1,myfxbook,myfxbook_populated_candidate,,225
FOMC,2020-03-03T09:00:00-06:00,2020-03-03,FEDERAL_RESERVE,FOMC 2020-03-03,oanda,2020-03-03 16:00,FOMC Interest Rate Decision,82,98040,March,3,"1,00-1,25%",,0,"1,50-1,75%",1583247600,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2020-03-03.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,1,FOMC_RATE,-1731853807,1.25,<null>,unique_null,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_null,myfxbook_consensus_missing,796
FOMC,2020-03-15T16:00:00-05:00,2020-03-15,FEDERAL_RESERVE,FOMC 2020-03-15,oanda,2020-03-15 22:00,FOMC Interest Rate Decision,82,98158,March,3,"0-0,25%",,0,"1,00-1,25%",1584306000,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2020-03-15.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,1,FOMC_RATE,-1731853807,0.25,<null>,unique_null,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,,,,,myfxbook_null,myfxbook_consensus_missing,800
RETAIL_SALES,2022-09-15T07:30:00-05:00,2022-09-15,CENSUS,August 2022,oanda,2022-09-15 14:30,Retail Sales,696,110600,August,3,"0,3% m/m",,0,,1663245000,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2022-09-15.json,EconomicCalendar/raw/oanda/oanda_consensus_matches.csv,58e8e48189b674897845cac1cb4f9ef398900ae34194bd7215f568cf780f0e74,1,RETAIL_SALES,1066687555,0.3,0.0,unique_populated,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1066687555,0.3,0.0,myfxbook,myfxbook_populated_candidate,,1030
