event_family,release_date,myfxbook_source_family,myfxbook_event_id,myfxbook_actual,myfxbook_consensus,consensus_source,candidate_classification,target_coverage_source,oanda_gap_start_date,oanda_gap_end_date,myfxbook_capture_source,myfxbook_capture_endpoint,myfxbook_capture_years_back,myfxbook_capture_filename,myfxbook_capture_sha256,source_series_ordinal,source_observation_ordinal
JOLTS,2014-07-08,JOLTS,906938645,4640000,4530000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,1
JOLTS,2014-08-12,JOLTS,906938645,4670000,4740000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,2
JOLTS,2014-09-09,JOLTS,906938645,4673000,4720000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,3
JOLTS,2014-10-07,JOLTS,906938645,4835000,4710000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,4
JOLTS,2014-11-13,JOLTS,906938645,4735000,4820000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,5
JOLTS,2014-12-09,JOLTS,906938645,4834000,4790000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,6
JOLTS,2015-01-13,JOLTS,906938645,4972000,4863000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,7
JOLTS,2015-02-10,JOLTS,906938645,5028000,4990000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,8
JOLTS,2015-03-10,JOLTS,906938645,4998000,5052000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,9
JOLTS,2015-04-07,JOLTS,906938645,5133000,5010000,myfxbook,myfxbook_unique_populated_gap_fill,oanda,2010-01-01,2023-12-04,myfxbook,calendar-chart-years-back.json,20,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,9,10
