event_family,release_year,expected_events,matched_events,forecast_events,previous_events,actual_events,ambiguous_events,match_coverage_pct,forecast_coverage_pct,previous_coverage_pct
CPI,2010,12,0,0,0,0,0,0.0,0.0,0.0
CPI,2011,12,6,5,6,5,0,0.5,0.4167,0.5
CPI,2012,12,12,11,7,8,0,1.0,0.9167,0.5833
CPI,2013,12,12,12,10,10,0,1.0,1.0,0.8333
CPI,2014,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2015,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2016,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2017,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2018,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2019,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2020,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2021,12,12,12,12,12,0,1.0,1.0,1.0
CPI,2022,12,12,12,11,11,0,1.0,1.0,0.9167
CPI,2023,12,12,11,11,10,0,1.0,0.9167,0.9167
CPI,2024,12,12,12,11,11,0,1.0,1.0,0.9167
CPI,2025,11,11,11,11,11,0,1.0,1.0,1.0
CPI,2026,8,8,8,7,8,0,1.0,1.0,0.875
DURABLE_GOODS,2010,12,0,0,0,0,0,0.0,0.0,0.0
DURABLE_GOODS,2011,12,6,6,6,6,0,0.5,0.5,0.5
DURABLE_GOODS,2012,12,12,12,11,11,0,1.0,1.0,0.9167
DURABLE_GOODS,2013,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2014,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2015,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2016,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2017,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2018,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2019,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2020,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2021,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2022,12,12,12,12,11,0,1.0,1.0,1.0
DURABLE_GOODS,2023,12,12,12,12,12,0,1.0,1.0,1.0
DURABLE_GOODS,2024,12,12,12,10,11,0,1.0,1.0,0.8333
DURABLE_GOODS,2025,11,11,11,11,11,0,1.0,1.0,1.0
DURABLE_GOODS,2026,8,8,8,7,8,0,1.0,1.0,0.875
EMPLOYMENT,2010,12,0,0,0,0,0,0.0,0.0,0.0
EMPLOYMENT,2011,12,5,5,4,4,0,0.4167,0.4167,0.3333
EMPLOYMENT,2012,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2013,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2014,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2015,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2016,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2017,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2018,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2019,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2020,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2021,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2022,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2023,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2024,12,12,12,12,12,0,1.0,1.0,1.0
EMPLOYMENT,2025,11,11,11,11,11,0,1.0,1.0,1.0
EMPLOYMENT,2026,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2010,9,0,0,0,0,0,0.0,0.0,0.0
FOMC,2011,8,4,4,4,4,0,0.5,0.5,0.5
FOMC,2012,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2013,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2014,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2015,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2016,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2017,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2018,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2019,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2020,10,9,7,9,9,0,0.9,0.7,0.9
FOMC,2021,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2022,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2023,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2024,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2025,8,8,8,8,8,0,1.0,1.0,1.0
FOMC,2026,5,5,5,5,5,0,1.0,1.0,1.0
GDP,2010,12,0,0,0,0,0,0.0,0.0,0.0
GDP,2011,12,6,6,6,6,0,0.5,0.5,0.5
GDP,2012,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2013,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2014,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2015,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2016,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2017,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2018,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2019,11,11,11,11,11,0,1.0,1.0,1.0
GDP,2020,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2021,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2022,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2023,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2024,12,12,12,12,12,0,1.0,1.0,1.0
GDP,2025,10,10,10,10,10,0,1.0,1.0,1.0
GDP,2026,8,8,8,8,8,0,1.0,1.0,1.0
JOLTS,2010,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2011,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2012,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2013,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2014,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2015,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2016,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2017,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2018,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2019,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2020,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2021,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2022,12,0,0,0,0,0,0.0,0.0,0.0
JOLTS,2023,12,1,1,1,1,0,0.0833,0.0833,0.0833
JOLTS,2024,12,12,12,12,12,0,1.0,1.0,1.0
JOLTS,2025,11,11,11,11,11,0,1.0,1.0,1.0
JOLTS,2026,8,8,8,8,8,0,1.0,1.0,1.0
PCE,2010,12,0,0,0,0,0,0.0,0.0,0.0
PCE,2011,12,6,6,5,6,0,0.5,0.5,0.4167
PCE,2012,12,12,11,9,9,0,1.0,0.9167,0.75
PCE,2013,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2014,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2015,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2016,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2017,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2018,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2019,11,11,11,11,11,0,1.0,1.0,1.0
PCE,2020,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2021,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2022,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2023,12,12,12,11,11,0,1.0,1.0,0.9167
PCE,2024,12,12,12,12,12,0,1.0,1.0,1.0
PCE,2025,10,10,10,10,10,0,1.0,1.0,1.0
PCE,2026,7,7,7,7,7,0,1.0,1.0,1.0
PPI,2010,12,0,0,0,0,0,0.0,0.0,0.0
PPI,2011,12,6,5,5,5,0,0.5,0.4167,0.4167
PPI,2012,12,12,11,11,11,0,1.0,0.9167,0.9167
PPI,2013,12,12,11,12,12,0,1.0,0.9167,1.0
PPI,2014,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2015,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2016,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2017,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2018,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2019,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2020,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2021,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2022,12,12,12,12,12,0,1.0,1.0,1.0
PPI,2023,12,12,12,12,11,0,1.0,1.0,1.0
PPI,2024,12,12,12,10,11,0,1.0,1.0,0.8333
PPI,2025,10,10,10,10,10,0,1.0,1.0,1.0
PPI,2026,9,9,9,9,9,0,1.0,1.0,1.0
RETAIL_SALES,2010,12,0,0,0,0,0,0.0,0.0,0.0
RETAIL_SALES,2011,12,6,5,5,5,0,0.5,0.4167,0.4167
RETAIL_SALES,2012,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2013,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2014,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2015,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2016,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2017,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2018,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2019,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2020,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2021,12,12,12,12,12,0,1.0,1.0,1.0
RETAIL_SALES,2022,12,12,11,10,10,0,1.0,0.9167,0.8333
RETAIL_SALES,2023,12,12,12,12,11,0,1.0,1.0,1.0
RETAIL_SALES,2024,12,12,12,11,11,0,1.0,1.0,0.9167
RETAIL_SALES,2025,11,11,11,11,11,0,1.0,1.0,1.0
RETAIL_SALES,2026,9,9,9,9,9,0,1.0,1.0,1.0
