event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,oanda_date,oanda_event,oanda_report_id,oanda_event_id,oanda_period,oanda_priority,oanda_actual,oanda_forecast,oanda_previous,oanda_timestamp,forecast_present,previous_present,actual_present,match_rule,source_file
PPI,2011-07-14T07:30:00-05:00,2011-07-14,BLS,June 2011,2011-07-14 14:30,Producer Price Index,703,24462,June,2,-0.4% m/m,-0.1% m/m,0.2% m/m,1310646600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-14.json
RETAIL_SALES,2011-07-14T07:30:00-05:00,2011-07-14,CENSUS,June 2011,2011-07-14 14:30,Retail Sales,696,24144,June,3,0.1% m/m,,-0.2% m/m,1310646600,0,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-14.json
CPI,2011-07-15T07:30:00-05:00,2011-07-15,BLS,June 2011,2011-07-15 14:30,Consumer Price Index,699,24290,June,3,-0.2% m/m,-0.1% m/m,0.2% m/m,1310733000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-15.json
DURABLE_GOODS,2011-07-27T07:30:00-05:00,2011-07-27,CENSUS,June 2011,2011-07-27 14:30,Durable Goods Orders - pre..,59,4333,June,3,-2.1% m/m,0.3% m/m,2.1% m/m,1311769800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-27.json
GDP,2011-07-29T07:30:00-05:00,2011-07-29,BEA,Q2 2011 Advance,2011-07-29 14:30,GDP (Annualized) - pre..,690,23812,2Q,3,1.3%,1.9%,1.9%,1311942600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-07-29.json
PCE,2011-08-02T07:30:00-05:00,2011-08-02,BEA,June 2011,2011-08-02 14:30,Personal Consumption Expenditures,694,24035,June,2,-0.2% m/m,0.2% m/m,,1312288200,1,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-02.json
EMPLOYMENT,2011-08-05T07:30:00-05:00,2011-08-05,BLS,July 2011,2011-08-05 14:30,Non-Farm Employment Change,707,24661,July,3,117 k,90 k,18 k,1312547400,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-05.json
FOMC,2011-08-09T13:15:00-05:00,2011-08-09,FEDERAL_RESERVE,FOMC 2011-08-09,2011-08-09 20:18,FOMC Interest Rate Decision,82,7007,August,3,0.25%,0.25%,0.25%,1312913880,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-09.json
RETAIL_SALES,2011-08-12T07:30:00-05:00,2011-08-12,CENSUS,July 2011,2011-08-12 14:30,Retail Sales,696,24149,July,3,0.5% m/m,0.5% m/m,0.1% m/m,1313152200,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-12.json
PPI,2011-08-17T07:30:00-05:00,2011-08-17,BLS,July 2011,2011-08-17 14:30,Producer Price Index,703,24466,July,2,0.2% m/m,,-0.4% m/m,1313584200,0,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-17.json
CPI,2011-08-18T07:30:00-05:00,2011-08-18,BLS,July 2011,2011-08-18 14:30,Consumer Price Index,699,24294,July,3,0.5% m/m,0.2% m/m,-0.2% m/m,1313670600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-18.json
DURABLE_GOODS,2011-08-24T07:30:00-05:00,2011-08-24,CENSUS,July 2011,2011-08-24 14:30,Durable Goods Orders - pre..,59,4343,July,3,4% m/m,1.9% m/m,-1.9% m/m,1314189000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-24.json
GDP,2011-08-26T07:30:00-05:00,2011-08-26,BEA,Q2 2011 Second,2011-08-26 14:30,GDP (Annualized) - rev..,690,23815,2Q,3,1%,1.1%,0.4%,1314361800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-26.json
PCE,2011-08-29T07:30:00-05:00,2011-08-29,BEA,July 2011,2011-08-29 14:30,Personal Consumption Expenditures,694,24040,July,2,0.8% m/m,0.4% m/m,-0.2% m/m,1314621000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-08-29.json
EMPLOYMENT,2011-09-02T07:30:00-05:00,2011-09-02,BLS,August 2011,2011-09-02 14:30,Non-Farm Employment Change,707,24666,August,3,,75 k,117 k,1314966600,1,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-02.json
PPI,2011-09-14T07:30:00-05:00,2011-09-14,BLS,August 2011,2011-09-14 14:30,Producer Price Index,703,24470,August,2,,-0.1% m/m,0.2% m/m,1316003400,1,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-14.json
RETAIL_SALES,2011-09-14T07:30:00-05:00,2011-09-14,CENSUS,August 2011,2011-09-14 14:30,Retail Sales,696,24154,August,3,,0.2% m/m,0.5% m/m,1316003400,1,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-14.json
CPI,2011-09-15T07:30:00-05:00,2011-09-15,BLS,August 2011,2011-09-15 14:30,Consumer Price Index,699,24298,August,3,0.4% m/m,0.2% m/m,0.5% m/m,1316089800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-15.json
FOMC,2011-09-21T13:15:00-05:00,2011-09-21,FEDERAL_RESERVE,FOMC 2011-09-21,2011-09-21 20:22,FOMC Interest Rate Decision,82,7014,September,3,0.25%,0.25%,0.25%,1316629320,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-21.json
DURABLE_GOODS,2011-09-28T07:30:00-05:00,2011-09-28,CENSUS,August 2011,2011-09-28 14:30,Durable Goods Orders - pre..,59,4353,August,3,-0.1% m/m,-0.6% m/m,4.1% m/m,1317213000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-28.json
GDP,2011-09-29T07:30:00-05:00,2011-09-29,BEA,Q2 2011 Third,2011-09-29 14:30,GDP (Annualized) - fin..,690,23820,2Q,3,1.3%,1.2%,0.4%,1317299400,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-29.json
PCE,2011-09-30T07:30:00-05:00,2011-09-30,BEA,August 2011,2011-09-30 14:30,Personal Consumption Expenditures,694,24045,August,2,0.2% m/m,0.2% m/m,0.8% m/m,1317385800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-09-30.json
EMPLOYMENT,2011-10-07T07:30:00-05:00,2011-10-07,BLS,September 2011,2011-10-07 14:30,Non-Farm Employment Change,707,24671,September,3,103 k,60 k,,1317990600,1,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-07.json
RETAIL_SALES,2011-10-14T07:30:00-05:00,2011-10-14,CENSUS,September 2011,2011-10-14 14:30,Retail Sales,696,24159,September,3,1.1% m/m,0.6% m/m,,1318595400,1,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-14.json
PPI,2011-10-18T07:30:00-05:00,2011-10-18,BLS,September 2011,2011-10-18 14:30,Producer Price Index,703,24474,September,2,0.8% m/m,0.2% m/m,,1318941000,1,0,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-18.json
CPI,2011-10-19T07:30:00-05:00,2011-10-19,BLS,September 2011,2011-10-19 14:30,Consumer Price Index,699,24302,September,3,0.3% m/m,0.3% m/m,0.4% m/m,1319027400,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-19.json
DURABLE_GOODS,2011-10-26T07:30:00-05:00,2011-10-26,CENSUS,September 2011,2011-10-26 14:30,Durable Goods Orders - pre..,59,4363,September,3,-0.8% m/m,-0.7% m/m,-0.1% m/m,1319632200,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-26.json
GDP,2011-10-27T07:30:00-05:00,2011-10-27,BEA,Q3 2011 Advance,2011-10-27 14:30,GDP (Annualized) - pre..,690,23813,3Q,3,2.5%,2.5%,1.3%,1319718600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-27.json
PCE,2011-10-28T07:30:00-05:00,2011-10-28,BEA,September 2011,2011-10-28 14:30,Personal Consumption Expenditures,694,24050,September,2,0.6% m/m,0.5% m/m,0.2% m/m,1319805000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-10-28.json
FOMC,2011-11-02T11:30:00-05:00,2011-11-02,FEDERAL_RESERVE,FOMC 2011-11-02,2011-11-02 17:30,FOMC Interest Rate Decision,82,7026,November,3,0.25%,0.25%,0.25%,1320251400,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-02.json
EMPLOYMENT,2011-11-04T07:30:00-05:00,2011-11-04,BLS,October 2011,2011-11-04 13:30,Non-Farm Employment Change,707,24676,October,3,80 k,95 k,103 k,1320409800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-04.json
PPI,2011-11-15T07:30:00-06:00,2011-11-15,BLS,October 2011,2011-11-15 14:30,Producer Price Index,703,24478,October,2,-0.3% m/m,0.1% m/m,0.8% m/m,1321363800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-15.json
RETAIL_SALES,2011-11-15T07:30:00-06:00,2011-11-15,CENSUS,October 2011,2011-11-15 14:30,Retail Sales,696,24164,October,3,0.5% m/m,0.2% m/m,1.1% m/m,1321363800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-15.json
CPI,2011-11-16T07:30:00-06:00,2011-11-16,BLS,October 2011,2011-11-16 14:30,Consumer Price Index,699,24306,October,3,-0.1% m/m,,0.3% m/m,1321450200,0,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-16.json
GDP,2011-11-22T07:30:00-06:00,2011-11-22,BEA,Q3 2011 Second,2011-11-22 14:30,GDP (Annualized) - rev..,690,23816,3Q,3,2%,2.5%,1.3%,1321968600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-22.json
DURABLE_GOODS,2011-11-23T07:30:00-06:00,2011-11-23,CENSUS,October 2011,2011-11-23 14:30,Durable Goods Orders - pre..,59,4373,October,3,-0.7% m/m,-0.9% m/m,-0.6% m/m,1322055000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-23.json
PCE,2011-11-23T07:30:00-06:00,2011-11-23,BEA,October 2011,2011-11-23 14:30,Personal Consumption Expenditures,694,24055,October,2,0.1% m/m,0.3% m/m,0.6% m/m,1322055000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-11-23.json
EMPLOYMENT,2011-12-02T07:30:00-06:00,2011-12-02,BLS,November 2011,2011-12-02 14:30,Non-Farm Employment Change,707,24681,November,3,120 k,125 k,80 k,1322832600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-02.json
RETAIL_SALES,2011-12-13T07:30:00-06:00,2011-12-13,CENSUS,November 2011,2011-12-13 14:30,Retail Sales,696,24169,November,3,0.2% m/m,0.5% m/m,0.5% m/m,1323783000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-13.json
FOMC,2011-12-13T13:15:00-06:00,2011-12-13,FEDERAL_RESERVE,FOMC 2011-12-13,2011-12-13 20:13,FOMC Interest Rate Decision,82,7030,December,3,0.25%,0.25%,0.25%,1323803580,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-13.json
PPI,2011-12-15T07:30:00-06:00,2011-12-15,BLS,November 2011,2011-12-15 14:30,Producer Price Index,703,24482,November,2,0.3% m/m,0.2% m/m,-0.3% m/m,1323955800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-15.json
CPI,2011-12-16T07:30:00-06:00,2011-12-16,BLS,November 2011,2011-12-16 14:30,Consumer Price Index,699,24310,November,3,,0.1% m/m,-0.1% m/m,1324042200,1,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-16.json
GDP,2011-12-22T07:30:00-06:00,2011-12-22,BEA,Q3 2011 Third,2011-12-22 14:30,GDP (Annualized) - fin..,690,23821,3Q,3,1.8%,2%,1.3%,1324560600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-22.json
DURABLE_GOODS,2011-12-23T07:30:00-06:00,2011-12-23,CENSUS,November 2011,2011-12-23 14:30,Durable Goods Orders - pre..,59,4382,November,3,3.8% m/m,2% m/m,-0.5% m/m,1324647000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-23.json
PCE,2011-12-23T07:30:00-06:00,2011-12-23,BEA,November 2011,2011-12-23 14:30,Personal Consumption Expenditures,694,24060,November,2,0.1% m/m,0.3% m/m,0.1% m/m,1324647000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2011-12-23.json
EMPLOYMENT,2012-01-06T07:30:00-06:00,2012-01-06,BLS,December 2011,2012-01-06 14:30,Non-Farm Employment Change,707,24686,December,3,200 k,150 k,120 k,1325856600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-06.json
RETAIL_SALES,2012-01-12T07:30:00-06:00,2012-01-12,CENSUS,December 2011,2012-01-12 14:30,Retail Sales,696,24174,December,3,0.1% m/m,0.3% m/m,0.2% m/m,1326375000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-12.json
PPI,2012-01-18T07:30:00-06:00,2012-01-18,BLS,December 2011,2012-01-18 14:30,Producer Price Index,703,24486,December,2,-0.1% m/m,0.1% m/m,0.3% m/m,1326893400,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-18.json
CPI,2012-01-19T07:30:00-06:00,2012-01-19,BLS,December 2011,2012-01-19 14:30,Consumer Price Index,699,24314,December,3,,0.1% m/m,,1326979800,1,0,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-19.json
FOMC,2012-01-25T11:30:00-06:00,2012-01-25,FEDERAL_RESERVE,FOMC 2012-01-25,2012-01-25 18:27,FOMC Interest Rate Decision,82,6984,January,3,0.25%,0.25%,0.25%,1327512420,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-25.json
DURABLE_GOODS,2012-01-26T07:30:00-06:00,2012-01-26,CENSUS,December 2011,2012-01-26 14:30,Durable Goods Orders - pre..,59,4393,December,3,3% m/m,2% m/m,3.7% m/m,1327584600,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-26.json
GDP,2012-01-27T07:30:00-06:00,2012-01-27,BEA,Q4 2011 Advance,2012-01-27 14:30,GDP (Annualized) - pre..,690,23822,4Q,3,2.8%,3%,1.8%,1327671000,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-27.json
PCE,2012-01-30T07:30:00-06:00,2012-01-30,BEA,December 2011,2012-01-30 14:30,Personal Consumption Expenditures,694,24065,December,2,,0.1% m/m,0.1% m/m,1327930200,1,1,0,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-01-30.json
EMPLOYMENT,2012-02-03T07:30:00-06:00,2012-02-03,BLS,January 2012,2012-02-03 14:30,Non-Farm Employment Change,707,24634,January,3,243 k,155 k,200 k,1328275800,1,1,1,pinned_report_and_event_name,EconomicCalendar/raw/oanda/daily/2012-02-03.json
