economic_event_id,event_family,event_timestamp_utc,reference_period,oanda_period,period_status,period_detail,oanda_report_id,oanda_event_id,oanda_event,report_status,event_name_status,forecast_unit_status,forecast_unit_detail,actual_unit_status,actual_unit_detail,previous_unit_status,previous_unit_detail,forecast_raw,actual_raw,previous_raw
77,PPI,2011-07-14T07:30:00-05:00,June 2011,June,compatible_month,month=6,703,24462,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,-0.1% m/m,-0.4% m/m,0.2% m/m
2301,RETAIL_SALES,2011-07-14T07:30:00-05:00,June 2011,June,compatible_month,month=6,696,24144,Retail Sales,standard_pinned_report,expected_event_name,missing,,consistent,,consistent,,,0.1% m/m,-0.2% m/m
78,CPI,2011-07-15T07:30:00-05:00,June 2011,June,compatible_month,month=6,699,24290,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,-0.1% m/m,-0.2% m/m,0.2% m/m
2302,DURABLE_GOODS,2011-07-27T07:30:00-05:00,June 2011,June,compatible_month,month=6,59,4333,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.3% m/m,-2.1% m/m,2.1% m/m
1636,GDP,2011-07-29T07:30:00-05:00,Q2 2011 Advance,2Q,compatible_quarter,quarter=2,690,23812,GDP (Annualized) - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,1.9%,1.3%,1.9%
1637,PCE,2011-08-02T07:30:00-05:00,June 2011,June,compatible_month,month=6,694,24035,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,missing,,0.2% m/m,-0.2% m/m,
79,EMPLOYMENT,2011-08-05T07:30:00-05:00,July 2011,July,compatible_month,month=7,707,24661,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,90 k,117 k,18 k
2142,FOMC,2011-08-09T13:15:00-05:00,FOMC 2011-08-09,August,compatible_fomc_month,official_date_month=8,82,7007,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.25%,0.25%,0.25%
2303,RETAIL_SALES,2011-08-12T07:30:00-05:00,July 2011,July,compatible_month,month=7,696,24149,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.5% m/m,0.5% m/m,0.1% m/m
81,PPI,2011-08-17T07:30:00-05:00,July 2011,July,compatible_month,month=7,703,24466,Producer Price Index,standard_pinned_report,expected_event_name,missing,,consistent,,consistent,,,0.2% m/m,-0.4% m/m
82,CPI,2011-08-18T07:30:00-05:00,July 2011,July,compatible_month,month=7,699,24294,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.2% m/m,0.5% m/m,-0.2% m/m
2304,DURABLE_GOODS,2011-08-24T07:30:00-05:00,July 2011,July,compatible_month,month=7,59,4343,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,1.9% m/m,4% m/m,-1.9% m/m
1638,GDP,2011-08-26T07:30:00-05:00,Q2 2011 Second,2Q,compatible_quarter,quarter=2,690,23815,GDP (Annualized) - rev..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,1.1%,1%,0.4%
1639,PCE,2011-08-29T07:30:00-05:00,July 2011,July,compatible_month,month=7,694,24040,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.4% m/m,0.8% m/m,-0.2% m/m
83,EMPLOYMENT,2011-09-02T07:30:00-05:00,August 2011,August,compatible_month,month=8,707,24666,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,75 k,,117 k
85,PPI,2011-09-14T07:30:00-05:00,August 2011,August,compatible_month,month=8,703,24470,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,-0.1% m/m,,0.2% m/m
2305,RETAIL_SALES,2011-09-14T07:30:00-05:00,August 2011,August,compatible_month,month=8,696,24154,Retail Sales,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,0.2% m/m,,0.5% m/m
86,CPI,2011-09-15T07:30:00-05:00,August 2011,August,compatible_month,month=8,699,24298,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.2% m/m,0.4% m/m,0.5% m/m
2143,FOMC,2011-09-21T13:15:00-05:00,FOMC 2011-09-21,September,compatible_fomc_month,official_date_month=9,82,7014,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,0.25%,0.25%,0.25%
