event_family,field,signature,count
CPI,actual,missing,11
CPI,actual,parsed:percent:m/m:scalar,169
CPI,actual,parsed:percent:y/y:scalar,1
CPI,forecast,missing,3
CPI,forecast,parsed:percent:m/m:scalar,177
CPI,forecast,parsed:percent:y/y:scalar,1
CPI,previous,missing,11
CPI,previous,parsed:percent:m/m:scalar,169
CPI,previous,parsed:percent:y/y:scalar,1
DURABLE_GOODS,actual,missing,3
DURABLE_GOODS,actual,parsed:percent:m/m:scalar,178
DURABLE_GOODS,forecast,parsed:percent:m/m:scalar,181
DURABLE_GOODS,previous,missing,4
DURABLE_GOODS,previous,parsed:percent:m/m:scalar,177
EMPLOYMENT,actual,missing,1
EMPLOYMENT,actual,parsed:count:-:scalar,179
EMPLOYMENT,forecast,parsed:count:-:scalar,180
EMPLOYMENT,previous,missing,1
EMPLOYMENT,previous,parsed:count:-:scalar,179
FOMC,actual,parsed:percent:-:range,111
FOMC,actual,parsed:percent:-:scalar,11
FOMC,forecast,missing,2
FOMC,forecast,parsed:percent:-:range,109
FOMC,forecast,parsed:percent:-:scalar,11
FOMC,previous,parsed:percent:-:range,111
FOMC,previous,parsed:percent:-:scalar,11
GDP,actual,parsed:percent:-:scalar,179
GDP,forecast,parsed:percent:-:scalar,179
GDP,previous,parsed:percent:-:scalar,179
JOLTS,actual,parsed:count:-:scalar,32
JOLTS,forecast,parsed:count:-:scalar,32
JOLTS,previous,parsed:count:-:scalar,32
PCE,actual,missing,4
PCE,actual,parsed:percent:m/m:scalar,174
PCE,forecast,missing,1
PCE,forecast,parsed:percent:m/m:scalar,177
PCE,previous,missing,5
PCE,previous,parsed:percent:m/m:scalar,173
PPI,actual,missing,4
PPI,actual,parsed:percent:m/m:scalar,177
PPI,forecast,missing,3
PPI,forecast,parsed:percent:m/m:scalar,178
PPI,previous,missing,4
PPI,previous,parsed:percent:m/m:scalar,177
RETAIL_SALES,actual,missing,5
RETAIL_SALES,actual,parsed:percent:m/m:scalar,177
RETAIL_SALES,forecast,missing,2
RETAIL_SALES,forecast,parsed:percent:m/m:scalar,180
RETAIL_SALES,previous,missing,4
RETAIL_SALES,previous,parsed:percent:m/m:scalar,178
