event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
EMPLOYMENT,2010-01-08T07:30:00-06:00,2010-01-08,BLS,December 2009,no_pinned_oanda_candidate
JOLTS,2010-01-12T09:00:00-06:00,2010-01-12,BLS,November 2009,no_pinned_oanda_candidate
RETAIL_SALES,2010-01-14T07:30:00-06:00,2010-01-14,CENSUS,December 2009,no_pinned_oanda_candidate
CPI,2010-01-15T07:30:00-06:00,2010-01-15,BLS,December 2009,no_pinned_oanda_candidate
PPI,2010-01-20T07:30:00-06:00,2010-01-20,BLS,December 2009,no_pinned_oanda_candidate
FOMC,2010-01-27T13:15:00-06:00,2010-01-27,FEDERAL_RESERVE,FOMC 2010-01-27,no_pinned_oanda_candidate
DURABLE_GOODS,2010-01-28T07:30:00-06:00,2010-01-28,CENSUS,December 2009,no_pinned_oanda_candidate
GDP,2010-01-29T07:30:00-06:00,2010-01-29,BEA,Q4 2009 Advance,no_pinned_oanda_candidate
PCE,2010-02-01T07:30:00-06:00,2010-02-01,BEA,December 2009,no_pinned_oanda_candidate
EMPLOYMENT,2010-02-05T07:30:00-06:00,2010-02-05,BLS,January 2010,no_pinned_oanda_candidate
JOLTS,2010-02-09T09:00:00-06:00,2010-02-09,BLS,December 2009,no_pinned_oanda_candidate
RETAIL_SALES,2010-02-12T07:30:00-06:00,2010-02-12,CENSUS,January 2010,no_pinned_oanda_candidate
PPI,2010-02-18T07:30:00-06:00,2010-02-18,BLS,January 2010,no_pinned_oanda_candidate
CPI,2010-02-19T07:30:00-06:00,2010-02-19,BLS,January 2010,no_pinned_oanda_candidate
DURABLE_GOODS,2010-02-25T07:30:00-06:00,2010-02-25,CENSUS,January 2010,no_pinned_oanda_candidate
GDP,2010-02-26T07:30:00-06:00,2010-02-26,BEA,Q4 2009 Second,no_pinned_oanda_candidate
PCE,2010-03-01T07:30:00-06:00,2010-03-01,BEA,January 2010,no_pinned_oanda_candidate
EMPLOYMENT,2010-03-05T07:30:00-06:00,2010-03-05,BLS,February 2010,no_pinned_oanda_candidate
JOLTS,2010-03-09T09:00:00-06:00,2010-03-09,BLS,January 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-03-12T07:30:00-06:00,2010-03-12,CENSUS,February 2010,no_pinned_oanda_candidate
FOMC,2010-03-16T13:15:00-05:00,2010-03-16,FEDERAL_RESERVE,FOMC 2010-03-16,no_pinned_oanda_candidate
PPI,2010-03-17T07:30:00-05:00,2010-03-17,BLS,February 2010,no_pinned_oanda_candidate
CPI,2010-03-18T07:30:00-05:00,2010-03-18,BLS,February 2010,no_pinned_oanda_candidate
DURABLE_GOODS,2010-03-24T07:30:00-05:00,2010-03-24,CENSUS,February 2010,no_pinned_oanda_candidate
GDP,2010-03-26T07:30:00-05:00,2010-03-26,BEA,Q4 2009 Third,no_pinned_oanda_candidate
PCE,2010-03-29T07:30:00-05:00,2010-03-29,BEA,February 2010,no_pinned_oanda_candidate
