oanda_event,observed_rows
Weekly Jobless Claims,629
Crude Oil Stocks - Weekly Change,586
Distillate Stocks - Weekly Change,586
Gasoline Stocks - Weekly Change,586
Crude Oil Stocks (API) - Weekly Change,521
Core Producer Price Index,364
Producer Price Index,364
Consumer Price Index,361
Core Consumer Price Index,361
EIA Natural Gas Storage,361
Oil Rig Count,354
Average Hourly Earnings,296
PCE Core,295
PCE,228
FOMC Member Williams Speaks,221
Business Inventories,182
Retail Sales,182
Retail Sales Ex Autos,182
Average Weekly Hours,181
Durable Goods Orders - pre..,181
Durable Goods Orders Ex-Transport - pre..,181
Non-Farm Employment Change,181
Personal Consumption Expenditures,181
Personal Income,181
Private Payrolls,181
Unemployment Rate,180
Challenger Job-Cut Report,173
University of Michigan Consumer Sentiment - fin..,170
FOMC Member Bostic Speaks,167
Export Prices,166
Import Prices,166
Non-agricultural Export Prices,166
Non-petroleum Import Prices,166
Capacity Utilization,160
Industrial Production,160
Federal Budget Balance,158
University of Michigan Consumer Sentiment - pre..,150
FOMC Member Bullard Speaks,148
NY Empire State Manufacturing Index,148
Pending Home Sales,147
New Home Sales,143
Chicago PMI,142
Monthly Net TIC Flows,140
Net Long-Term TIC Flows,140
Conference Board Consumer Confidence,136
Building Permits,135
Housing Starts,135
Consumer Credit,133
FOMC Member Evans Speaks,130
S&P/Case-Shiller 10-City Composities,130
S&P/Case-Shiller 20-City Composities,130
Exports,123
Imports,123
Trade Balance,123
Wholesale Inventories,123
FOMC Interest Rate Decision,122
Philadelphia Fed Index,119
Durable Goods Orders - fin..,118
Durable Goods Orders Ex-Transport - fin..,118
Factory Orders,117
NAHB Housing Market Index,115
Retail Sales Ex Gas and Autos,115
Richmond Manufacturing Index,113
FOMC Member Mester Speaks,112
FHFA House Price Index,111
International Trade in Goods,110
Construction Spending,107
University of Michigan 1-Year Inflation Outlook - fin..,106
University of Michigan 5-Year Inflation Outlook - fin..,106
Business Activity Index,105
ISM Non-Manufacturing Index,105
ISM Manufacturing Index,104
ADP National Employment Report,103
FOMC Member Kaplan Speaks,99
FOMC Member Kashkari Speaks,99
FOMC Member Harker Speaks,98
Manufacturing PMI - fin..,97
University of Michigan 1-Year Inflation Outlook - pre..,97
University of Michigan 5-Year Inflation Outlook - pre..,97
FOMC Member Barkin Speaks,94
FOMC Press Conference,92
Kansas City Fed Manufacturing Index,91
Services PMI - fin..,90
FOMC Minutes,80
FOMC Member Bowman Speaks,79
Federal Reserve Chairman Jerome Powell Speaks,79
Beige Book,77
ISM Non-Manufacturing Employment Index,75
ISM Non-Manufacturing Prices Index,75
Conference Board Leading Indicators,74
ISM Manufacturing Employment Index,74
ISM Manufacturing New Orders Index,74
ISM Manufacturing Prices Index,74
Services PMI - pre..,74
FOMC Member Daly Speaks,73
Manufacturing PMI - pre..,73
Existing Home Sales,68
GDP (Annualized) - pre..,61
GDP Price Deflator - pre..,61
PCE Core - pre..,61
Economic Projections of FOMC,60
GDP (Annualized) - fin..,60
GDP Price Deflator - fin..,60
GDP Price Deflator - rev..,60
PCE Core - fin..,60
Employment Cost Index,59
GDP (Annualized) - rev..,59
PCE Core - rev..,59
Dallas Fed Manufacturing Index,54
FOMC Member George Speaks,54
FOMC Member Waller Speaks,54
FOMC Member Rosengren Speaks,53
Non-Farm Productivity - pre..,53
Unit Labor Costs - pre..,53
FOMC Member Barr Speaks,52
FOMC Member Dudley Speaks,50
FOMC Member Brainard Speaks,49
FOMC Member Goolsbee Speaks,49
FOMC Member Lockhart Speaks,45
Current Account,43
Non-Farm Productivity - fin..,42
Unit Labor Costs - fin..,42
FOMC Member Quarles Speaks,40
Fed Chair Testifies,40
Consumer Spending (Annualized) - pre..,38
Consumer Spending (Annualized) - fin..,37
Federal Reserve Chairwoman Janet L. Yellen Speaks,37
Consumer Spending (Annualized) - rev..,36
FOMC Member Powell Speaks,35
FOMC Member Cook Speaks,34
FOMC Member Logan Speaks,33
JOLTS Job Openings,33
FOMC Member Clarida Speaks,31
FOMC Member Lacker Speaks,31
Federal Reserve Chairman Ben Bernanke Speaks,30
FOMC Member Kocherlakota Speaks,29
FOMC Member Fischer Speaks,27
FOMC Member Plosser Speaks,27
FOMC Member Fisher Speaks,25
Jackson Hole Symposium,20
FOMC Member Jefferson Speaks,19
FOMC Member Schmid Speaks,18
FOMC Member Tarullo Speaks,18
FOMC Member Collins Speaks,14
FOMC Member Pianalto Speaks,13
President Biden Speaks,10
FOMC Member Stein Speaks,8
FOMC Member Raskin Speaks,5
FOMC Member Yellen Speaks,4
Fed Monetary Policy Report,3
Monetary Policy Report,3
FED Monetary Policy Report,1
FOMC Member Montgomery Speaks,1
Wystąpienie szefa Fed z Filadelfii (Patrick Harker),1
