oanda_report_id,oanda_event,observed_rows,distinct_jolts_dates,coverage_pct,first_date,last_date,forecast_rows,previous_rows,actual_rows,forecast_pct,actual_pct,common_periods,priorities
803,Crude Oil Stocks (API) - Weekly Change,112,112,0.7724,2011-07-12,2023-10-03,58,112,112,0.5179,1.0,Week:112,3:112
78,Wholesale Inventories,27,27,0.1862,2011-08-10,2020-12-09,27,27,27,1.0,1.0,October:4 | April:4 | November:3 | December:3 | March:3 | February:2 | August:2 | January:2,1:27
711,Crude Oil Stocks - Weekly Change,16,16,0.1103,2011-08-10,2023-11-01,15,16,16,0.9375,1.0,Week:16,3:16
712,Gasoline Stocks - Weekly Change,16,16,0.1103,2011-08-10,2023-11-01,11,16,16,0.6875,1.0,Week:16,2:16
713,Distillate Stocks - Weekly Change,16,16,0.1103,2011-08-10,2023-11-01,9,16,16,0.5625,1.0,Week:16,1:16
76,Consumer Credit,15,15,0.1034,2012-02-07,2021-09-08,15,15,15,1.0,1.0,December:2 | June:2 | March:2 | May:2 | February:2 | August:1 | October:1 | September:1,1:15
683,Trade Balance,14,14,0.0966,2011-07-12,2023-07-06,14,14,14,1.0,1.0,May:3 | August:2 | December:2 | July:1 | October:1 | June:1 | February:1 | September:1,3:14
684,Exports,14,14,0.0966,2011-07-12,2023-07-06,0,14,14,0.0,1.0,May:3 | August:2 | December:2 | July:1 | October:1 | June:1 | February:1 | September:1,1:14
685,Imports,14,14,0.0966,2011-07-12,2023-07-06,0,14,14,0.0,1.0,May:3 | August:2 | December:2 | July:1 | October:1 | June:1 | February:1 | September:1,1:14
40,Federal Budget Balance,9,9,0.0621,2011-08-10,2016-08-10,9,9,9,1.0,1.0,July:4 | October:2 | January:1 | December:1 | April:1,1:9
45,Industrial Production,9,9,0.0621,2014-01-17,2020-05-15,9,9,9,1.0,1.0,February:3 | December:2 | September:2 | November:1 | April:1,3:9
46,Capacity Utilization,9,9,0.0621,2014-01-17,2020-05-15,9,9,9,1.0,1.0,February:3 | December:2 | September:2 | November:1 | April:1,2:9
915,FOMC Member Bullard Speaks,9,9,0.0621,2014-06-10,2022-06-01,0,0,0,0.0,0.0,,2:9
50,Weekly Jobless Claims,8,8,0.0552,2013-01-10,2023-07-06,8,8,8,1.0,1.0,Week:8,3:8
66,ISM Manufacturing Index,8,8,0.0552,2022-01-04,2023-11-01,8,8,8,1.0,1.0,December:2 | January:2 | October:2 | May:1 | July:1,3:8
68,University of Michigan Consumer Sentiment - pre..,8,8,0.0552,2014-01-17,2021-11-12,8,8,8,1.0,1.0,January:2 | March:2 | October:1 | April:1 | May:1 | November:1,2:8
1081,ISM Manufacturing Prices Index,8,8,0.0552,2022-01-04,2023-11-01,7,8,8,0.875,1.0,December:2 | January:2 | October:2 | May:1 | July:1,3:8
1080,ISM Manufacturing Employment Index,8,8,0.0552,2022-01-04,2023-11-01,4,8,8,0.5,1.0,December:2 | January:2 | October:2 | May:1 | July:1,3:8
37,Beige Book,8,8,0.0552,2011-09-07,2023-05-31,0,0,0,0.0,0.0,September:3 | October:1 | June:1 | November:1 | March:1 | May:1,2:8
81,FOMC Minutes,8,8,0.0552,2011-07-12,2023-01-04,0,0,0,0.0,0.0,September:4 | June:3 | December:1,3:8
1082,ISM Manufacturing New Orders Index,8,8,0.0552,2022-01-04,2023-11-01,0,8,8,0.0,1.0,December:2 | January:2 | October:2 | May:1 | July:1,3:8
1186,FOMC Member Williams Speaks,8,8,0.0552,2021-05-11,2022-10-04,0,0,0,0.0,0.0,,2:8
912,FOMC Member Lacker Speaks,7,7,0.0483,2013-02-12,2016-01-12,0,0,0,0.0,0.0,,2:7
54,Housing Starts,6,6,0.0414,2012-06-19,2020-01-17,6,6,6,1.0,1.0,December:2 | February:2 | May:1 | November:1,3:6
55,Building Permits,6,6,0.0414,2012-06-19,2020-01-17,6,6,6,1.0,1.0,December:2 | February:2 | May:1 | November:1,3:6
80,Construction Spending,6,6,0.0414,2022-02-01,2023-11-01,6,6,6,1.0,1.0,December:2 | September:2 | April:1 | June:1,1:6
555,Manufacturing PMI - fin..,6,6,0.0414,2022-02-01,2023-11-01,6,6,6,1.0,1.0,January:2 | October:2 | May:1 | July:1,3:6
914,FOMC Member Evans Speaks,6,6,0.0414,2015-11-12,2022-08-02,0,0,0,0.0,0.0,,2:6
997,FOMC Member Harker Speaks,6,6,0.0414,2019-08-06,2023-05-31,0,0,0,0.0,0.0,,2:6
999,FOMC Member Kaplan Speaks,6,6,0.0414,2016-01-12,2021-01-12,0,0,0,0.0,0.0,,2:6
1084,University of Michigan 1-Year Inflation Outlook - pre..,6,6,0.0414,2018-03-16,2021-11-12,0,6,6,0.0,1.0,March:2 | April:1 | January:1 | May:1 | November:1,2:6
1085,University of Michigan 5-Year Inflation Outlook - pre..,6,6,0.0414,2018-03-16,2021-11-12,0,6,6,0.0,1.0,March:2 | April:1 | January:1 | May:1 | November:1,2:6
1099,Oil Rig Count,6,6,0.0414,2018-03-16,2021-11-12,0,6,6,0.0,1.0,Week:6,1:6
1149,FOMC Member Quarles Speaks,6,6,0.0414,2019-05-07,2020-11-10,0,0,0,0.0,0.0,,2:6
51,ADP National Employment Report,5,5,0.0345,2022-11-30,2023-11-01,5,5,5,1.0,1.0,November:1 | January:1 | February:1 | June:1 | October:1,3:5
817,ISM Non-Manufacturing Index,5,5,0.0345,2016-04-05,2023-07-06,5,5,5,1.0,1.0,June:2 | March:1 | May:1 | October:1,3:5
818,Business Activity Index,5,5,0.0345,2016-04-05,2023-07-06,5,5,5,1.0,1.0,June:2 | March:1 | May:1 | October:1,3:5
939,Services PMI - fin..,5,5,0.0345,2016-04-05,2023-07-06,5,5,5,1.0,1.0,June:2 | March:1 | May:1 | October:1,2:5
909,FOMC Member Dudley Speaks,5,5,0.0345,2014-10-07,2016-10-12,0,0,0,0.0,0.0,,2:5
910,FOMC Member Plosser Speaks,5,5,0.0345,2013-02-12,2015-11-12,0,0,0,0.0,0.0,,2:5
917,FOMC Member George Speaks,5,5,0.0345,2013-02-12,2019-10-09,0,0,0,0.0,0.0,,2:5
1012,FOMC Member Kashkari Speaks,5,5,0.0345,2016-07-12,2020-02-11,0,0,0,0.0,0.0,,2:5
1142,FOMC Member Bostic Speaks,5,5,0.0345,2019-07-09,2021-10-12,0,0,0,0.0,0.0,,2:5
1165,Federal Reserve Chairman Jerome Powell Speaks,5,5,0.0345,2018-05-08,2022-11-30,0,0,0,0.0,0.0,,3:5
58,Factory Orders,4,4,0.0276,2022-05-03,2023-05-02,4,4,3,1.0,0.75,March:2 | August:1 | February:1,2:4
59,Durable Goods Orders - fin..,4,4,0.0276,2022-05-03,2023-05-02,4,4,4,1.0,1.0,March:2 | August:1 | February:1,3:4
79,Business Inventories,4,4,0.0276,2011-12-13,2020-05-15,4,3,4,1.0,1.0,January:2 | October:1 | March:1,1:4
82,FOMC Interest Rate Decision,4,4,0.0276,2011-12-13,2023-11-01,4,4,4,1.0,1.0,December:1 | March:1 | February:1 | November:1,3:4
696,Retail Sales,4,4,0.0276,2011-12-13,2020-05-15,4,4,4,1.0,1.0,February:2 | November:1 | April:1,3:4
697,Retail Sales Ex Autos,4,4,0.0276,2011-12-13,2020-05-15,4,4,4,1.0,1.0,February:2 | November:1 | April:1,3:4
60,Durable Goods Orders Ex-Transport - fin..,4,4,0.0276,2022-05-03,2023-05-02,3,4,4,0.75,1.0,March:2 | August:1 | February:1,3:4
717,Net Long-Term TIC Flows,4,4,0.0276,2015-10-16,2020-05-15,3,4,4,0.75,1.0,August:2 | January:1 | March:1,2:4
1078,ISM Non-Manufacturing Prices Index,4,4,0.0276,2018-06-05,2023-07-06,1,4,4,0.25,1.0,June:2 | May:1 | October:1,3:4
241,Federal Reserve Chairman Ben Bernanke Speaks,4,4,0.0276,2012-02-07,2013-04-09,0,0,0,0.0,0.0,,3:4
716,Monthly Net TIC Flows,4,4,0.0276,2015-10-16,2020-05-15,0,4,4,0.0,1.0,August:2 | January:1 | March:1,2:4
904,FOMC Member Tarullo Speaks,4,4,0.0276,2013-11-22,2016-07-12,0,0,0,0.0,0.0,,2:4
908,FOMC Member Rosengren Speaks,5,4,0.0276,2014-06-10,2020-11-10,0,0,0,0.0,0.0,,2:5
916,FOMC Member Kocherlakota Speaks,4,4,0.0276,2014-04-08,2015-04-07,0,0,0,0.0,0.0,,2:4
945,FOMC Member Mester Speaks,4,4,0.0276,2016-07-12,2022-10-04,0,0,0,0.0,0.0,,2:4
1077,ISM Non-Manufacturing Employment Index,4,4,0.0276,2018-06-05,2023-07-06,0,4,4,0.0,1.0,June:2 | May:1 | October:1,3:4
63,FHFA House Price Index,3,3,0.0207,2022-03-29,2023-08-29,3,3,3,1.0,1.0,June:2 | January:1,1:3
73,Conference Board Consumer Confidence,3,3,0.0207,2022-03-29,2023-08-29,3,3,3,1.0,1.0,August:2 | March:1,3:3
714,S&P/Case-Shiller 10-City Composities,3,3,0.0207,2022-03-29,2023-08-29,3,3,3,1.0,1.0,June:2 | January:1,1:3
715,S&P/Case-Shiller 20-City Composities,3,3,0.0207,2022-03-29,2023-08-29,3,3,3,1.0,1.0,June:2 | January:1,1:3
881,Fed Chair Testifies,3,3,0.0207,2014-02-11,2023-03-08,0,0,0,0.0,0.0,,3:3
918,FOMC Member Fisher Speaks,3,3,0.0207,2013-12-10,2015-03-10,0,0,0,0.0,0.0,,2:3
919,FOMC Member Williams Speaks,3,3,0.0207,2016-05-10,2017-07-11,0,0,0,0.0,0.0,,2:3
941,Federal Reserve Chairwoman Janet L. Yellen Speaks,3,3,0.0207,2014-11-13,2017-11-07,0,0,0,0.0,0.0,,3:3
961,FOMC Member Brainard Speaks,3,3,0.0207,2017-07-11,2021-05-11,0,0,0,0.0,0.0,,2:3
1175,FOMC Member Barkin Speaks,3,3,0.0207,2019-11-05,2021-08-09,0,0,0,0.0,0.0,,2:3
64,Chicago PMI,2,2,0.0138,2022-11-30,2023-05-31,2,2,2,1.0,1.0,November:1 | May:1,2:2
65,Philadelphia Fed Index,2,2,0.0138,2016-03-17,2017-03-16,2,2,2,1.0,1.0,March:2,2:2
69,NY Empire State Manufacturing Index,2,2,0.0138,2019-03-15,2020-05-15,2,2,2,1.0,1.0,March:1 | May:1,2:2
71,NAHB Housing Market Index,2,2,0.0138,2018-10-16,2020-03-17,2,2,2,1.0,1.0,October:1 | March:1,1:2
462,FOMC Press Conference,2,2,0.0138,2023-02-01,2023-11-01,0,0,0,0.0,0.0,February:1 | November:1,3:2
1092,Retail Sales Ex Gas and Autos,2,2,0.0138,2020-03-17,2020-05-15,0,2,2,0.0,1.0,February:1 | April:1,3:2
1202,FOMC Member Daly Speaks,2,2,0.0138,2020-07-07,2021-05-11,0,0,0,0.0,0.0,,2:2
1257,FOMC Member Bowman Speaks,2,2,0.0138,2022-11-30,2023-05-31,0,0,0,0.0,0.0,,2:2
61,Current Account,1,1,0.0069,2016-03-17,2016-03-17,1,1,1,1.0,1.0,4Q:1,2:1
70,Pending Home Sales,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,October:1,2:1
72,Conference Board Leading Indicators,1,1,0.0069,2016-03-17,2016-03-17,1,1,1,1.0,1.0,February:1,1:1
555,Manufacturing PMI - pre..,1,1,0.0069,2013-10-24,2013-10-24,1,1,1,1.0,1.0,October:1,3:1
690,GDP (Annualized) - rev..,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,3Q:1,3:1
691,GDP Price Deflator - rev..,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,3Q:1,2:1
692,PCE Core - rev..,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,3Q:1,2:1
1025,International Trade in Goods,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,October:1,2:1
1086,Consumer Spending (Annualized) - rev..,1,1,0.0069,2022-11-30,2022-11-30,1,1,1,1.0,1.0,3Q:1,2:1
1177,EIA Natural Gas Storage,1,1,0.0069,2021-03-11,2021-03-11,1,1,1,1.0,1.0,Week:1,2:1
52,Challenger Job-Cut Report,1,1,0.0069,2023-07-06,2023-07-06,0,1,1,0.0,1.0,June:1,1:1
902,FOMC Member Yellen Speaks,1,1,0.0069,2013-02-12,2013-02-12,0,0,0,0.0,0.0,,2:1
907,FOMC Member Powell Speaks,1,1,0.0069,2019-07-09,2019-07-09,0,0,0,0.0,0.0,,2:1
911,FOMC Member Pianalto Speaks,1,1,0.0069,2013-04-09,2013-04-09,0,0,0,0.0,0.0,,2:1
947,FOMC Member Fischer Speaks,1,1,0.0069,2016-01-12,2016-01-12,0,0,0,0.0,0.0,,2:1
1197,FOMC Member Clarida Speaks,1,1,0.0069,2021-10-12,2021-10-12,0,0,0,0.0,0.0,,2:1
1357,FOMC Member Collins Speaks,1,1,0.0069,2023-05-31,2023-05-31,0,0,0,0.0,0.0,,2:1
1358,FOMC Member Logan Speaks,1,1,0.0069,2023-07-06,2023-07-06,0,0,0,0.0,0.0,,2:1
1362,FOMC Member  Jefferson Speaks,1,1,0.0069,2023-05-31,2023-05-31,0,0,0,0.0,0.0,,2:1
1363,FOMC Member Cook Speaks,1,1,0.0069,2023-04-04,2023-04-04,0,0,0,0.0,0.0,,2:1
