event_family,official_event_timestamp_utc,official_release_date,official_source_agency,original_unmatched_reason,classification,detail,cached_file,cached_file_exists,cached_total_rows,cached_us_rows,expected_pinned_report_ids,same_day_us_report_ids,same_day_us_event_names,pinned_report_rows,accepted_candidate_rows,rejected_pinned_rows,pinned_row_detail
EMPLOYMENT,2010-01-08T07:30:00-06:00,2010-01-08,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-08.json,1,0,0,707,,,0,0,0,
JOLTS,2010-01-12T09:00:00-06:00,2010-01-12,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-12.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-01-14T07:30:00-06:00,2010-01-14,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-14.json,1,0,0,696,,,0,0,0,
CPI,2010-01-15T07:30:00-06:00,2010-01-15,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-15.json,1,0,0,699,,,0,0,0,
PPI,2010-01-20T07:30:00-06:00,2010-01-20,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-20.json,1,0,0,703,,,0,0,0,
FOMC,2010-01-27T13:15:00-06:00,2010-01-27,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-27.json,1,0,0,82,,,0,0,0,
DURABLE_GOODS,2010-01-28T07:30:00-06:00,2010-01-28,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-28.json,1,0,0,59,,,0,0,0,
GDP,2010-01-29T07:30:00-06:00,2010-01-29,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-01-29.json,1,0,0,690,,,0,0,0,
PCE,2010-02-01T07:30:00-06:00,2010-02-01,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-01.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-02-05T07:30:00-06:00,2010-02-05,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-05.json,1,0,0,707,,,0,0,0,
