Currency,Pip value
AUDCAD,0.00008
AUDCHF,0.00011
AUDJPY,0.00010
AUDNZD,0.00007
AUDSGD,0.00007
AUDUSD,0.00010
CADCHF,0.00011
CADJPY,0.00010
CHFJPY,0.00010
CHFSGD,0.00007
EURAUD,0.00007
EURCAD,0.00008
EURCHF,0.00011
EURCZK,0.00000
EURGBP,0.00013
EURHUF,0.00000
EURJPY,0.00010
EURMXN,0.00000
EURNOK,0.00001
EURNZD,0.00007
EURPLN,0.00003
EURSEK,0.00001
EURSGD,0.00007
EURTRY,0.00001
EURUSD,0.00010
EURZAR,0.00001
GBPAUD,0.00007
GBPCAD,0.00008
GBPCHF,0.00011
GBPJPY,0.00010
GBPMXN,0.00000
GBPNOK,0.00001
GBPNZD,0.00007
GBPSEK,0.00001
GBPSGD,0.00007
GBPTRY,0.00001
GBPUSD,0.00010
NOKJPY,0.00010
NOKSEK,0.00001
NZDCAD,0.00008
NZDCHF,0.00011
NZDJPY,0.00010
NZDUSD,0.00010
SEKJPY,0.00010
SGDJPY,0.00010
USDCAD,0.00008
USDCHF,0.00011
USDCNH,0.00002
USDCZK,0.00000
USDHUF,0.00000
USDJPY,0.00010
USDMXN,0.00000
USDNOK,0.00001
USDPLN,0.00003
USDRUB,0.00000
USDSEK,0.00001
USDSGD,0.00007
USDTHB,0.00000
USDTRY,0.00001
USDZAR,0.00001
XAGAUD,0.00007
XAGEUR,0.00012
XAGUSD,0.00010
XAUAUD,0.00007
XAUCHF,0.00011
XAUEUR,0.00012
XAUGBP,0.00013
XAUJPY,0.00010
XAUUSD,0.00010
XBRUSD,0.00010
XNGUSD,0.00010
XPDUSD,0.00010
XPTUSD,0.00010
XTIUSD,0.00010
ZARJPY,0.00010
